smiles,T,dliq,dgas,st,tc,redT
C[C@@H]1CCC[C@H](C1)C,300,0.7785,2.249e-05,25.08,590.7,0.5078720162519045
C[C@@H]1CCC[C@H](C1)C,370,0.7147,0.00248,17.02,590.7,0.6263754867106822
C[C@@H]1CCC[C@H](C1)C,416,0.6686,0.007247,12.47,590.7,0.7042491958693076
C[C@@H]1CCC[C@H](C1)C,439,0.6434,0.01099,11.84,590.7,0.7431860504486202
C[C@@H]1CCC[C@H](C1)C,462,0.6154,0.01986,9.323,590.7,0.7821229050279329
C[C@@H]1CCC[C@H](C1)C,485,0.591,0.028569999999999998,7.257000000000001,590.7,0.8210597596072455
C[C@@H]1CCC[C@H](C1)C,508,0.56,0.039330000000000004,4.665,590.7,0.8599966141865583
CC1CCC(CC1)C,226,0.842,6.0089999999999996e-06,35.97,588.9,0.3837663440312447
CC1CCC(CC1)C,313,0.762,0.00021219999999999998,22.33,588.9,0.5314994056715912
CC1CCC(CC1)C,378,0.7021,0.00298,16.75,588.9,0.641874681609781
CC1CCC(CC1)C,421,0.6602,0.010790000000000001,11.33,588.9,0.7148921718458142
CC1CCC(CC1)C,443,0.636,0.01408,10.17,588.9,0.7522499575479709
CC1CCC(CC1)C,465,0.6124,0.022719999999999997,8.485,588.9,0.7896077432501274
CC1CCC(CC1)C,486,0.5885,0.027739999999999997,6.531000000000001,588.9,0.8252674477840041
CC1CCC(CC1)C,508,0.5558,0.04362,5.584,588.9,0.8626252334861607
C1CCCCCCC1,313,0.8146,3.238e-05,27.29,630.2,0.4966677245318946
C1CCCCCCC1,386,0.747,0.002393,20.93,630.2,0.6125039669946049
C1CCCCCCC1,441,0.6944,0.01063,13.78,630.2,0.6997778483021263
C1CCCCCCC1,477,0.6557,0.01627,10.48,630.2,0.7569025706125039
C1CCCCCCC1,495,0.6358,0.02157,9.686,630.2,0.7854649317676927
C1CCCCCCC1,514,0.6142,0.02875,8.066,630.2,0.8156140907648365
C1CCCCCCC1,532,0.5906,0.03522,6.313,630.2,0.8441764519200253
C1CCCCCCC1,550,0.5691,0.04891,4.841,630.2,0.8727388130752142
CC1CCCCCC1,263,0.8312,0.0,31.25,610.4,0.43086500655307997
CC1CCCCCC1,338,0.7644,0.0005597,22.59,610.4,0.5537352555701179
CC1CCCCCC1,394,0.7132,0.0038689999999999996,16.17,610.4,0.645478374836173
CC1CCCCCC1,432,0.6759,0.005139,12.43,610.4,0.7077326343381389
